Trip_ID,start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph
TRIP_00001,Vasant Kunj,Kalkaji,9.44,Night,Weekday,Clear,Low,Main Road,37.8
TRIP_00002,Greater Kailash,Kalkaji,2.15,Night,Weekend,Clear,Low,Main Road,42.7
TRIP_00003,Janakpuri,Model Town,14.54,Morning Peak,Weekday,Rain,High,Inner Road,9.7
TRIP_00004,Punjabi Bagh,Dwarka,11.86,Night,Weekday,Clear,Low,Highway,68.5
TRIP_00005,Rohini,Chandni Chowk,20.26,Afternoon,Weekday,Fog,Medium,Highway,30.3
TRIP_00006,Janakpuri,Dwarka,5.26,Evening Peak,Weekend,Clear,Medium,Highway,51.7
TRIP_00007,Noida Sector 18,Preet Vihar,8.57,Morning Peak,Weekend,Clear,Very High,Inner Road,7.6
TRIP_00008,Rohini,Dwarka,17.53,Evening Peak,Weekday,Clear,Medium,Main Road,37.3
TRIP_00009,IGI Airport,Saket,11.0,Evening Peak,Weekday,Heatwave,High,Highway,39.7
TRIP_00010,Vasant Kunj,Janakpuri,13.24,Evening Peak,Weekday,Clear,High,Main Road,23.6
TRIP_00011,Chandni Chowk,Pitampura,11.29,Morning Peak,Weekend,Clear,High,Main Road,24.8
TRIP_00012,Mayur Vihar,Preet Vihar,3.05,Afternoon,Weekend,Clear,Low,Main Road,56.4
TRIP_00013,Rohini,Lajpat Nagar,26.64,Morning Peak,Weekday,Clear,Very High,Highway,16.3
TRIP_00014,Okhla,Model Town,21.87,Morning Peak,Weekday,Clear,Very High,Main Road,10.2
TRIP_00015,Greater Kailash,IGI Airport,13.13,Morning Peak,Weekend,Clear,Low,Main Road,58.1
TRIP_00016,Model Town,Hauz Khas,18.43,Afternoon,Weekday,Rain,Medium,Highway,43.9
TRIP_00017,Dwarka,Okhla,23.01,Evening Peak,Weekend,Clear,Low,Main Road,45.0
TRIP_00018,Noida Sector 18,Punjabi Bagh,21.94,Night,Weekend,Clear,Medium,Main Road,36.8
TRIP_00019,Saket,IGI Airport,11.0,Afternoon,Weekday,Rain,High,Main Road,19.3
TRIP_00020,Hauz Khas,Nehru Place,5.2,Evening Peak,Weekday,Clear,Very High,Highway,16.3
TRIP_00021,Nehru Place,Dwarka,20.8,Evening Peak,Weekday,Clear,Very High,Highway,21.7
TRIP_00022,AIIMS,Greater Kailash,3.26,Morning Peak,Weekend,Clear,High,Inner Road,17.4
TRIP_00023,Saket,Model Town,21.24,Morning Peak,Weekday,Rain,Medium,Main Road,32.2
TRIP_00024,Model Town,Shahdara,10.5,Night,Weekend,Heatwave,Low,Highway,79.8
TRIP_00025,Greater Kailash,Rohini,28.43,Evening Peak,Weekday,Rain,Very High,Highway,12.5
TRIP_00026,Pitampura,AIIMS,17.0,Afternoon,Weekday,Fog,High,Main Road,15.9
TRIP_00027,Connaught Place,Nehru Place,9.83,Evening Peak,Weekend,Heatwave,Medium,Main Road,26.8
TRIP_00028,Greater Kailash,AIIMS,3.26,Morning Peak,Weekday,Clear,High,Main Road,27.2
TRIP_00029,Hauz Khas,Shahdara,16.26,Morning Peak,Weekday,Rain,Medium,Highway,47.8
TRIP_00030,Rajouri Garden,IGI Airport,10.32,Morning Peak,Weekday,Clear,High,Main Road,19.0
TRIP_00031,Greater Kailash,Civil Lines,14.87,Morning Peak,Weekend,Rain,Medium,Main Road,24.6
TRIP_00032,Rajouri Garden,Saket,15.91,Morning Peak,Weekday,Clear,Medium,Highway,64.9
TRIP_00033,Kalkaji,Vasant Kunj,9.44,Afternoon,Weekday,Rain,Low,Inner Road,25.4
TRIP_00034,Connaught Place,Noida Sector 18,12.67,Evening Peak,Weekday,Clear,Very High,Highway,20.2
